treatment,claim_age,ID,text_full,thought,thought_count,thought_clean,age,female,coliving,kids,income,education,numeracy,savings,smoker,politics,benefit_eligible,perc_health,life_expectancy,ethnicity
1.0,65.0,1074783288.0,the longer you can delay receiving benefits the larger the compensation smaller paymnts but more of them                        ,the longer you can delay receiving benefits the larger the compensation,2,longer delay receiv benefit larger,63.0,0.0,0.0,0.0,15000,12.0,3.0,10000,1.0,Republic,1.0,3.0,6.0,white
1.0,65.0,1074783288.0,the longer you can delay receiving benefits the larger the compensation smaller paymnts but more of them                        ,smaller paymnts but more of them,2,smaller,63.0,0.0,0.0,0.0,15000,12.0,3.0,10000,1.0,Republic,1.0,3.0,6.0,white
0.0,62.0,1074854611.0,good great better no idea would not                     ,good,5,good,69.0,0.0,1.0,2.0,75000,14.0,3.0,200000,0.0,Democrat,1.0,2.0,5.0,white
0.0,62.0,1074854611.0,good great better no idea would not                     ,great,5,great,69.0,0.0,1.0,2.0,75000,14.0,3.0,200000,0.0,Democrat,1.0,2.0,5.0,white
0.0,62.0,1074854611.0,good great better no idea would not                     ,better,5,better,69.0,0.0,1.0,2.0,75000,14.0,3.0,200000,0.0,Democrat,1.0,2.0,5.0,white
0.0,62.0,1074854611.0,good great better no idea would not                     ,no idea,5,no idea,69.0,0.0,1.0,2.0,75000,14.0,3.0,200000,0.0,Democrat,1.0,2.0,5.0,white
0.0,62.0,1074854611.0,good great better no idea would not                     ,would not,5,not,69.0,0.0,1.0,2.0,75000,14.0,3.0,200000,0.0,Democrat,1.0,2.0,5.0,white
0.0,62.0,1079189162.0,Able to enjoy more years of retirement might not live long enough to get back all of what I paid in. retirement is more enjoyable when one is younger and healthier have more free time to enjoy hobbies or other interests hvae more time to participate in my community will recieve more money to live on each month                    ,Able to enjoy more years of retirement,6,abl enjoy year retir,69.0,0.0,1.0,3.0,75000,16.0,5.0,375000,0.0,Independ,1.0,4.0,4.0,white
0.0,62.0,1079189162.0,Able to enjoy more years of retirement might not live long enough to get back all of what I paid in. retirement is more enjoyable when one is younger and healthier have more free time to enjoy hobbies or other interests hvae more time to participate in my community will recieve more money to live on each month                    ,might not live long enough to get back all of what I paid in.,6,might not live long enough get back paid,69.0,0.0,1.0,3.0,75000,16.0,5.0,375000,0.0,Independ,1.0,4.0,4.0,white
0.0,62.0,1079189162.0,Able to enjoy more years of retirement might not live long enough to get back all of what I paid in. retirement is more enjoyable when one is younger and healthier have more free time to enjoy hobbies or other interests hvae more time to participate in my community will recieve more money to live on each month                    ,retirement is more enjoyable when one is younger and healthier,6,retir enjoy one younger healthier,69.0,0.0,1.0,3.0,75000,16.0,5.0,375000,0.0,Independ,1.0,4.0,4.0,white
0.0,62.0,1079189162.0,Able to enjoy more years of retirement might not live long enough to get back all of what I paid in. retirement is more enjoyable when one is younger and healthier have more free time to enjoy hobbies or other interests hvae more time to participate in my community will recieve more money to live on each month                    ,have more free time to enjoy hobbies or other interests,6,free time enjoy hobbi interest,69.0,0.0,1.0,3.0,75000,16.0,5.0,375000,0.0,Independ,1.0,4.0,4.0,white
0.0,62.0,1079189162.0,Able to enjoy more years of retirement might not live long enough to get back all of what I paid in. retirement is more enjoyable when one is younger and healthier have more free time to enjoy hobbies or other interests hvae more time to participate in my community will recieve more money to live on each month                    ,hvae more time to participate in my community,6,time communiti,69.0,0.0,1.0,3.0,75000,16.0,5.0,375000,0.0,Independ,1.0,4.0,4.0,white
0.0,62.0,1079189162.0,Able to enjoy more years of retirement might not live long enough to get back all of what I paid in. retirement is more enjoyable when one is younger and healthier have more free time to enjoy hobbies or other interests hvae more time to participate in my community will recieve more money to live on each month                    ,will recieve more money to live on each month,6,reciev money live month,69.0,0.0,1.0,3.0,75000,16.0,5.0,375000,0.0,Independ,1.0,4.0,4.0,white
1.0,67.0,1079189850.0,higher pay out more money to live on be able to stop working sooner                       ,higher pay out,3,higher pay,48.0,1.0,0.0,4.0,42500,12.0,6.0,17500,1.0,Democrat,0.0,4.0,7.0,white
